predict,pollution
121.981705,123.99999675992865
116.96683,120.00000092573467
114.60207,132.00000324007135
96.18526,139.9999949084593
92.42396,152.00000462867337
82.34693,148.00000138860202
80.30705,163.99999953713265
80.6727,157.99999467702563
77.58936,154.00000624870904
70.065285,158.99999548704346
67.15306,163.99999953713265
66.88402,170.00000439723968
61.091618,149.00000219861985
54.089893,154.00000624870904
59.00132,163.99999953713265
57.48996,155.99999305698995
57.729465,125.99999837996432
55.100883,89.99999884283166
51.211967,62.99999918998216
51.115513,65.00000081001784
44.559593,55.00000011571684
41.674797,65.00000081001784
44.610844,83.00000057858416
38.016975,90.9999996528495
30.796333,86.00000300863768
27.365902,81.99999976856633
24.1322,86.00000300863768
20.601788,77.99999652849498
18.5229,97.99999791709699
19.51967,106.99999780138016
20.258038,89.99999884283166
20.168633,96.00000370293868
19.904716,95.00000289292085
19.739834,86.00000300863768
18.564106,69.99999745422966
17.209215,61.00000127288517
18.207378,52.99999849568116
22.969921,70.9999982642475
24.307186,71.99999907426533
28.15439,76.00000231433668
29.168966,72.99999988428317
41.79418,78.99999733851281
75.22952,57.99999884283166
54.509007,24.999999884283167
33.6337,26.000000694301004
25.878832,28.000000462867337
18.42606,26.000000694301004
15.688759,19.999999537132663
13.6778555,28.99999942141583
12.257823,26.000000694301004
10.769449,26.9999996528495
10.117584,26.9999996528495
10.207432,24.999999884283167
10.000926,28.99999942141583
10.892831,32.0
11.551272,28.000000462867337
13.049985,28.99999942141583
13.02759,30.000000231433667
12.886404,30.000000231433667
13.007683,28.000000462867337
9.639816,26.000000694301004
8.998763,30.999999189982162
8.199106,33.00000081001784
7.3036466,28.99999942141583
6.7090435,30.999999189982162
6.1833744,30.000000231433667
6.484764,34.000001620035675
5.9759803,26.9999996528495
7.0590158,24.999999884283167
6.7959294,28.000000462867337
6.9173856,28.000000462867337
10.587175,26.9999996528495
15.671844,26.9999996528495
16.152367,26.9999996528495
16.026585,28.99999942141583
13.627081,35.999999537132666
19.045427,30.000000231433667
18.17829,26.9999996528495
17.688938,38.99999826424749
18.557203,40.99999988428316
21.068388,33.00000081001784
24.754915,49.99999976856633
27.390223,56.000000925734675
30.515236,58.999999652849496
29.624872,60.000000462867334
30.943888,84.000001388602
26.980558,105.99999699136232
25.534695,66.00000162003568
26.437204,49.99999976856633
23.50981,56.000000925734675
20.14834,77.00000312435452
18.827488,49.99999976856633
16.13237,43.99999861139799
14.560192,26.9999996528495
13.092229,28.000000462867337
14.005729,21.0000003471505
17.985144,24.999999884283167
16.364885,19.999999537132663
16.120047,28.99999942141583
14.72949,34.000001620035675
14.288515,42.000000694301
14.453133,28.000000462867337
15.146056,35.999999537132666
17.925837,48.00000185146934
21.55131,48.999998958548495
24.256678,52.00000138860201
26.924007,56.000000925734675
29.128176,96.00000370293868
33.367863,75.00000150431885
31.777939,105.00000358722185
30.458834,132.00000324007135
28.839375,93.00000127288517
27.84441,131.0000024300535
28.712912,126.99999918998216
29.36223,130.00000162003568
30.869207,43.00000150431884
30.74713,37.000000347150504
24.31942,30.000000231433667
22.090874,28.000000462867337
18.077036,24.00000092573467
17.530186,23.000000115716833
16.239016,24.00000092573467
18.181904,26.9999996528495
19.570742,39.999999074265325
22.79461,42.000000694301
26.112234,42.000000694301
28.588285,55.00000011571684
33.773617,52.00000138860201
33.673992,51.00000057858417
32.554756,57.00000173575251
35.138725,49.99999976856633
36.034424,53.999999305699
41.029095,67.00000243005351
43.1712,105.99999699136232
37.57363,158.99999548704346
37.641617,197.99999745422966
33.50173,190.0000057858417
36.301388,210.0000071744437
32.36158,194.99999502417614
33.444588,274.9999857668294
38.972187,163.99999953713265
45.01399,110.00000023143367
56.121296,99.99999953713267
62.168015,80.99999895854849
65.78401,70.9999982642475
70.4341,66.00000162003568
79.51131,92.00000046286733
82.70709,135.00000567012486
77.168144,155.00000705872688
71.59004,197.99999745422966
71.84054,249.99999513989297
70.08605,199.99999907426533
78.678764,230.9999945613088
90.227585,249.99999513989297
94.86446,211.99999398272465
85.86072,218.9999996528495
74.22976,227.0000061329922
60.50812,226.00000532297437
61.123077,225.00000451295654
54.026558,168.000002777204
56.581318,169.00000358722184
62.46597,165.0000003471505
67.03155,158.99999548704346
66.06564,167.00000196718617
62.13561,195.99999583419398
66.0015,169.00000358722184
55.28206,155.00000705872688
50.469425,119.00000011571683
48.779583,105.99999699136232
41.358715,93.00000127288517
36.86252,84.000001388602
35.93483,72.99999988428317
37.990314,66.00000162003568
41.86027,39.999999074265325
43.028442,48.999998958548495
44.62388,49.99999976856633
52.605133,48.999998958548495
58.7345,40.99999988428316
53.951225,37.000000347150504
57.88327,44.99999942141583
48.44516,43.99999861139799
42.647694,53.999999305699
42.58018,49.99999976856633
37.789703,47.000001041451505
52.286144,66.00000162003568
58.492508,75.00000150431885
55.76519,81.99999976856633
53.555927,66.00000162003568
50.493626,83.00000057858416
45.248787,61.999998379964325
39.99544,39.999999074265325
36.785583,23.000000115716833
34.533665,24.999999884283167
34.219746,26.9999996528495
30.671856,34.99999872711483
30.566633,49.99999976856633
38.667004,69.99999745422966
44.17899,75.00000150431885
51.20927,57.99999884283166
63.104,69.99999745422966
